# lams weight z
2.800000000000000000e+01 5.672721609663964249e+06 9.399999999999999467e-01
2.600000000000000000e+01 5.953223624695418403e+06 1.060000000000000053e+00
2.600000000000000000e+01 3.199091170692659914e+06 1.370000000000000107e+00
2.200000000000000000e+01 3.416912541304759681e+06 1.050000000000000044e+00
2.500000000000000000e+01 2.802900791138913017e+06 1.139999999999999902e+00
2.400000000000000000e+01 5.780362726470954716e+06 8.599999999999999867e-01
4.300000000000000000e+01 5.642086726305387914e+06 1.209999999999999964e+00
2.100000000000000000e+01 3.478934511674487963e+06 9.599999999999999645e-01
2.400000000000000000e+01 4.618122765271329321e+06 9.300000000000000488e-01
3.100000000000000000e+01 4.282366264534708112e+06 9.100000000000000311e-01
2.300000000000000000e+01 2.805775135113760829e+06 7.900000000000000355e-01
2.300000000000000000e+01 3.326647275874189101e+06 1.320000000000000062e+00
2.700000000000000000e+01 4.076789087955517229e+06 1.189999999999999947e+00
3.100000000000000000e+01 3.244471847166567575e+06 1.459999999999999964e+00
4.400000000000000000e+01 3.060078974836175796e+06 1.189999999999999947e+00
4.400000000000000000e+01 3.991641442935006227e+06 1.090000000000000080e+00
3.000000000000000000e+01 3.344798763433569577e+06 9.599999999999999645e-01
3.300000000000000000e+01 3.211747535789377056e+06 9.599999999999999645e-01
3.600000000000000000e+01 3.043617406955365092e+06 1.209999999999999964e+00
2.800000000000000000e+01 2.347201752885546535e+06 8.499999999999999778e-01
3.700000000000000000e+01 3.266545356096962932e+06 9.399999999999999467e-01
2.400000000000000000e+01 3.689142461373004131e+06 1.489999999999999991e+00
3.400000000000000000e+01 3.219203424695053138e+06 1.080000000000000071e+00
4.200000000000000000e+01 3.115072822009156924e+06 1.409999999999999920e+00
4.300000000000000000e+01 3.446453328911390621e+06 9.899999999999999911e-01
4.200000000000000000e+01 3.256305010790976696e+06 1.439999999999999947e+00
2.400000000000000000e+01 2.575125286102659535e+06 1.290000000000000036e+00
5.200000000000000000e+01 3.279926015859352425e+06 9.300000000000000488e-01
4.000000000000000000e+01 3.016691374875000212e+06 1.030000000000000027e+00
2.300000000000000000e+01 3.918148660238063894e+06 9.599999999999999645e-01
2.400000000000000000e+01 2.975132173083824571e+06 1.120000000000000107e+00
