# lams weight z
3.400000000000000000e+01 2.392563514031064231e+06 1.090000000000000080e+00
3.600000000000000000e+01 2.204027038836775348e+06 1.120000000000000107e+00
3.200000000000000000e+01 2.298639947051023133e+06 1.060000000000000053e+00
4.600000000000000000e+01 6.734783631964732893e+06 9.399999999999999467e-01
4.700000000000000000e+01 2.244115792444983032e+06 1.239999999999999991e+00
3.500000000000000000e+01 1.963442302333503496e+06 1.239999999999999991e+00
3.900000000000000000e+01 1.584178749877419556e+06 1.360000000000000098e+00
2.600000000000000000e+01 2.521763678498328663e+06 9.399999999999999467e-01
2.500000000000000000e+01 3.032968719966645818e+06 1.060000000000000053e+00
2.300000000000000000e+01 3.514480612585628405e+06 1.229999999999999982e+00
3.900000000000000000e+01 5.192965876824817620e+06 1.030000000000000027e+00
2.600000000000000000e+01 5.421525620215858333e+06 1.100000000000000089e+00
3.300000000000000000e+01 2.254136325464650989e+06 9.399999999999999467e-01
2.800000000000000000e+01 6.059602427348514087e+06 8.599999999999999867e-01
2.900000000000000000e+01 1.713390214484222466e+06 1.100000000000000089e+00
5.100000000000000000e+01 1.595735917972019175e+06 9.699999999999999734e-01
3.700000000000000000e+01 4.997651706901230849e+06 1.330000000000000071e+00
4.000000000000000000e+01 2.576422109046956059e+06 1.159999999999999920e+00
2.700000000000000000e+01 2.502888014037929010e+06 9.899999999999999911e-01
2.400000000000000000e+01 2.254350137032553088e+06 1.120000000000000107e+00
3.300000000000000000e+01 2.844204034604906570e+06 1.100000000000000089e+00
2.600000000000000000e+01 1.613425239447778556e+06 1.050000000000000044e+00
2.900000000000000000e+01 4.033937528213635087e+06 1.100000000000000089e+00
6.600000000000000000e+01 4.439662645663916133e+06 8.000000000000000444e-01
4.100000000000000000e+01 2.318477499689475633e+06 9.799999999999999822e-01
5.300000000000000000e+01 2.313446022588431370e+06 1.010000000000000009e+00
3.100000000000000000e+01 1.770974022500986699e+06 1.330000000000000071e+00
3.100000000000000000e+01 1.601462232015454676e+06 1.239999999999999991e+00
2.400000000000000000e+01 1.626373690244975733e+06 1.469999999999999973e+00
2.500000000000000000e+01 2.332257108313304372e+06 8.599999999999999867e-01
2.900000000000000000e+01 4.101224517432780005e+06 1.080000000000000071e+00
3.900000000000000000e+01 3.501185047948412597e+06 1.389999999999999902e+00
3.600000000000000000e+01 2.278578032134998124e+06 1.139999999999999902e+00
2.100000000000000000e+01 2.296267603205238003e+06 1.090000000000000080e+00
3.300000000000000000e+01 1.724700805124683538e+06 9.899999999999999911e-01
2.800000000000000000e+01 1.731446066303609638e+06 1.120000000000000107e+00
3.200000000000000000e+01 3.222113403858670034e+06 9.000000000000000222e-01
2.300000000000000000e+01 4.552303289286382496e+06 1.379999999999999893e+00
2.600000000000000000e+01 4.522166674226693809e+06 9.799999999999999822e-01
4.500000000000000000e+01 2.713008998107416555e+06 9.000000000000000222e-01
2.300000000000000000e+01 1.572470613827421563e+06 1.010000000000000009e+00
3.600000000000000000e+01 2.808073372749868780e+06 1.080000000000000071e+00
2.900000000000000000e+01 2.601821226082916837e+06 8.000000000000000444e-01
2.300000000000000000e+01 3.371362155951991677e+06 1.080000000000000071e+00
2.100000000000000000e+01 2.937478257719594985e+06 9.899999999999999911e-01
5.000000000000000000e+01 2.763129041321606841e+06 1.090000000000000080e+00
2.800000000000000000e+01 1.747734844959650887e+06 1.239999999999999991e+00
5.100000000000000000e+01 1.637284162669719895e+06 9.899999999999999911e-01
2.400000000000000000e+01 2.217889347132035997e+06 9.100000000000000311e-01
2.100000000000000000e+01 2.428988735382663552e+06 9.100000000000000311e-01
3.700000000000000000e+01 2.193248374369374476e+06 9.699999999999999734e-01
2.200000000000000000e+01 2.558722723933222238e+06 9.699999999999999734e-01
3.500000000000000000e+01 2.136425945846209303e+06 1.030000000000000027e+00
2.600000000000000000e+01 2.140699886258592829e+06 8.900000000000000133e-01
3.100000000000000000e+01 2.138770298956123181e+06 1.189999999999999947e+00
3.500000000000000000e+01 2.157257354193850420e+06 1.209999999999999964e+00
3.700000000000000000e+01 2.845418128225890454e+06 8.900000000000000133e-01
2.300000000000000000e+01 3.134145045907487161e+06 9.699999999999999734e-01
2.700000000000000000e+01 3.177222988842552062e+06 9.300000000000000488e-01
2.600000000000000000e+01 1.684649097714104690e+06 9.799999999999999822e-01
3.000000000000000000e+01 3.064403823752950877e+06 9.899999999999999911e-01
2.300000000000000000e+01 2.153009184472933412e+06 8.499999999999999778e-01
2.900000000000000000e+01 1.851848097223830409e+06 9.399999999999999467e-01
2.800000000000000000e+01 2.861777811028717551e+06 1.090000000000000080e+00
3.600000000000000000e+01 2.226297367129860446e+06 1.120000000000000107e+00
3.600000000000000000e+01 2.518463229461246636e+06 1.330000000000000071e+00
3.600000000000000000e+01 4.117845221767224371e+06 1.280000000000000027e+00
2.600000000000000000e+01 2.213663102425262332e+06 1.570000000000000062e+00
2.700000000000000000e+01 2.590658548592385836e+06 9.599999999999999645e-01
2.300000000000000000e+01 2.494252043322877027e+06 1.080000000000000071e+00
2.500000000000000000e+01 3.336174408173471689e+06 1.350000000000000089e+00
2.900000000000000000e+01 2.161997252821630333e+06 1.080000000000000071e+00
2.700000000000000000e+01 2.437734533181706443e+06 1.270000000000000018e+00
5.300000000000000000e+01 2.228613048909347039e+06 1.080000000000000071e+00
2.300000000000000000e+01 1.724154781736850971e+06 1.050000000000000044e+00
2.100000000000000000e+01 3.274688525745793246e+06 9.000000000000000222e-01
2.700000000000000000e+01 2.121550792343613226e+06 1.360000000000000098e+00
3.500000000000000000e+01 2.754241192725161090e+06 1.159999999999999920e+00
2.400000000000000000e+01 3.949256810335928109e+06 9.100000000000000311e-01
4.500000000000000000e+01 1.867597567907153862e+06 9.599999999999999645e-01
3.400000000000000000e+01 2.459558470594346523e+06 1.159999999999999920e+00
3.200000000000000000e+01 2.295423364793914370e+06 1.439999999999999947e+00
2.300000000000000000e+01 1.688384623997247312e+06 9.899999999999999911e-01
4.100000000000000000e+01 2.480515206005167682e+06 9.000000000000000222e-01
3.000000000000000000e+01 3.164205600735050626e+06 8.000000000000000444e-01
2.400000000000000000e+01 2.538090567740181927e+06 1.060000000000000053e+00
3.300000000000000000e+01 2.557893523285856005e+06 1.090000000000000080e+00
2.800000000000000000e+01 1.749220116770093795e+06 9.799999999999999822e-01
5.300000000000000000e+01 2.417265919023527764e+06 1.010000000000000009e+00
3.600000000000000000e+01 2.285080113797306549e+06 9.599999999999999645e-01
3.600000000000000000e+01 3.738856330877757166e+06 1.080000000000000071e+00
2.900000000000000000e+01 1.595154640918179881e+06 1.330000000000000071e+00
2.700000000000000000e+01 1.601102262807907071e+06 1.129999999999999893e+00
3.500000000000000000e+01 2.426060374532832298e+06 8.499999999999999778e-01
2.400000000000000000e+01 2.340541566238803789e+06 9.899999999999999911e-01
2.100000000000000000e+01 1.647135544769541593e+06 8.100000000000000533e-01
2.900000000000000000e+01 2.213285422816884238e+06 1.100000000000000089e+00
2.900000000000000000e+01 1.609451446975009283e+06 9.699999999999999734e-01
4.600000000000000000e+01 2.459278791871640831e+06 8.900000000000000133e-01
2.900000000000000000e+01 3.144176982018834446e+06 1.080000000000000071e+00
3.500000000000000000e+01 2.367329538476267830e+06 9.399999999999999467e-01
3.500000000000000000e+01 1.686476426861103857e+06 1.189999999999999947e+00
3.000000000000000000e+01 2.319443864634946920e+06 9.799999999999999822e-01
3.100000000000000000e+01 2.755290534317933023e+06 1.030000000000000027e+00
2.400000000000000000e+01 2.233554751506119967e+06 9.399999999999999467e-01
3.600000000000000000e+01 2.120578721152000129e+06 1.260000000000000009e+00
3.500000000000000000e+01 2.024182557338730898e+06 1.169999999999999929e+00
2.300000000000000000e+01 1.748254259716809960e+06 1.010000000000000009e+00
2.800000000000000000e+01 2.039660078385960776e+06 1.050000000000000044e+00
3.000000000000000000e+01 1.671899648644130910e+06 1.060000000000000053e+00
2.900000000000000000e+01 2.034902393833034905e+06 9.599999999999999645e-01
5.900000000000000000e+01 2.007377788580335910e+06 8.800000000000000044e-01
2.200000000000000000e+01 1.946440467548281886e+06 9.300000000000000488e-01
2.100000000000000000e+01 1.602537972016753862e+06 9.799999999999999822e-01
4.000000000000000000e+01 2.504257504990077578e+06 1.100000000000000089e+00
2.300000000000000000e+01 2.345703778100130148e+06 9.399999999999999467e-01
2.200000000000000000e+01 1.624848858588324860e+06 1.060000000000000053e+00
2.300000000000000000e+01 2.650643910032701679e+06 1.030000000000000027e+00
4.200000000000000000e+01 1.746222457971887430e+06 9.000000000000000222e-01
4.000000000000000000e+01 2.430233303353618365e+06 1.010000000000000009e+00
3.800000000000000000e+01 2.422927644200027455e+06 1.060000000000000053e+00
3.500000000000000000e+01 2.380640058816264849e+06 1.270000000000000018e+00
7.900000000000000000e+01 1.584117256838239729e+06 9.599999999999999645e-01
3.000000000000000000e+01 1.570506085951084038e+06 7.800000000000000266e-01
2.100000000000000000e+01 1.603820120621595997e+06 9.000000000000000222e-01
2.800000000000000000e+01 2.189635365516657475e+06 1.050000000000000044e+00
2.700000000000000000e+01 2.453197094245055690e+06 1.189999999999999947e+00
3.700000000000000000e+01 1.463682142826571595e+06 1.050000000000000044e+00
3.500000000000000000e+01 1.528983559159206226e+06 1.139999999999999902e+00
2.600000000000000000e+01 1.428055470322136534e+06 8.800000000000000044e-01
4.000000000000000000e+01 2.397117516734928358e+06 1.060000000000000053e+00
5.400000000000000000e+01 2.289874277341630775e+06 9.000000000000000222e-01
3.000000000000000000e+01 2.390941175485678017e+06 9.899999999999999911e-01
3.600000000000000000e+01 1.499067613406460267e+06 1.120000000000000107e+00
3.000000000000000000e+01 2.248852156068955082e+06 1.229999999999999982e+00
2.200000000000000000e+01 2.169272046150079928e+06 1.050000000000000044e+00
2.200000000000000000e+01 2.106590261857723352e+06 8.900000000000000133e-01
3.700000000000000000e+01 5.785146680188263766e+06 1.239999999999999991e+00
2.300000000000000000e+01 4.684138842044115067e+06 1.350000000000000089e+00
2.300000000000000000e+01 4.479374804347657599e+06 1.139999999999999902e+00
2.600000000000000000e+01 4.777642310833416879e+06 8.000000000000000444e-01
3.500000000000000000e+01 3.969726536725874059e+06 1.100000000000000089e+00
2.400000000000000000e+01 4.057529215270154644e+06 1.129999999999999893e+00
2.500000000000000000e+01 4.067060121675073635e+06 1.189999999999999947e+00
2.700000000000000000e+01 3.554530792479808908e+06 1.340000000000000080e+00
3.700000000000000000e+01 3.587026740539026912e+06 1.060000000000000053e+00
2.600000000000000000e+01 3.879475991052395664e+06 8.800000000000000044e-01
2.900000000000000000e+01 4.030988843884915113e+06 1.260000000000000009e+00
4.000000000000000000e+01 3.491323832449110691e+06 1.189999999999999947e+00
3.800000000000000000e+01 3.615453956055715214e+06 1.020000000000000018e+00
2.700000000000000000e+01 3.649476812533290125e+06 1.169999999999999929e+00
3.000000000000000000e+01 4.235759025469427928e+06 1.050000000000000044e+00
2.500000000000000000e+01 4.803965235124095343e+06 1.030000000000000027e+00
3.300000000000000000e+01 3.379075545356530230e+06 1.239999999999999991e+00
3.700000000000000000e+01 3.166565093628549017e+06 9.699999999999999734e-01
2.600000000000000000e+01 3.571913711715585552e+06 1.439999999999999947e+00
3.500000000000000000e+01 3.663097344723605085e+06 1.030000000000000027e+00
3.000000000000000000e+01 4.014173669298272580e+06 1.169999999999999929e+00
2.700000000000000000e+01 3.277575843559766654e+06 1.169999999999999929e+00
